provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI MALUKU,KABUPATEN SERAM BAGIAN TIMUR,8105143010574392,ANNIE HALIM,"SIRITAUN WIDA TIMUR, 30-10-1957",PEREMPUAN,A,JL PAHLAWAN REVOLUSI 1,002/004,LIAN TASIK,SIRITAUN WIDA TIMUR,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SERAM BAGIAN TIMUR,05-12-2017
PROVINSI PAPUA BARAT,KABUPATEN MANOKWARI,9202051203981862,DOREEN SIM,"MASNI, 12-03-1998",PEREMPUAN,A,JL JEND SUDIRMAN KAV 47-48 PLAZA CENTRAL,018/026,UNDI,MASNI,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MANOKWARI,25-08-2012
PROVINSI JAWA BARAT,KABUPATEN BANDUNG BARAT,3217041011587971,IRWAN SIREGAR,"BANDUNG BARAT, 10-11-1958",PEREMPUAN,O,JL PENJERNIHAN RUSUN BENDUNGAN HILIR II BL A/19,020/005,TENJOLAUT,CIKALONGWETAN,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,BANDUNG BARAT,07-09-2011
PROVINSI SUMATERA UTARA,KABUPATEN NIAS SELATAN,1214041407781144,NETCORP SECURITIES LIMITED,"NIAS SELATAN, 14-07-1978",PEREMPUAN,O,JL MANGGA DUA RAYA,025/003,HILIKANA,HIBALA,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,NIAS SELATAN,27-09-2020
PROVINSI P A P U A,KABUPATEN MAMBERAMO TENGAH,9121010907006344,ANITA KALIM,"MAMBERAMO TENGAH, 09-07-2000",PEREMPUAN,B,JL WALET KOMPL CIPINANG INDAH BL DD/6,029/023,WIYUGOBAK,KOBAGMA,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MAMBERAMO TENGAH,30-01-2013
PROVINSI SULAWESI TENGGARA,KABUPATEN KONAWE,7402412506932818,PAULUS THIO,"KONAWE, 25-06-1993",PEREMPUAN,B,JL ARJUNA SLT 168,015/009,WONGGEDUKU,WONGGEDUKU BARAT,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KONAWE,03-03-2014
PROVINSI P A P U A,KABUPATEN YALIMO,9122031208948120,TJIU THOMAS EFFENDY,"YALIMO, 12-08-1994",LAKI-LAKI,B,JL. PROF. SUPOMO SH NO. 6A,027/001,NENOMANI,ABENAHO,ISLAM,BELUM KAWIN,PELAUT,WNI,SEUMUR HIDUP,YALIMO,06-11-2019
PROVINSI JAWA TENGAH,KABUPATEN PEKALONGAN,3326182309712827,RIANTO LESMANA,"KARANGDADAP, 23-09-1971",PEREMPUAN,B,JL ALTERI MANGGA DUA KOMPL DUTA PERTIWI BL H-2/5,014/018,PANGKAH,KARANGDADAP,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PEKALONGAN,19-12-2016
PROVINSI JAWA BARAT,KABUPATEN BOGOR,3201171205631516,DANNY JUWONO,"BOGOR, 12-05-1963",LAKI-LAKI,AB,JL PEKAYON I 25,006/009,GUNUNGBUNDER II,PAMIJAHAN,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BOGOR,20-04-2014
PROVINSI JAMBI,KABUPATEN MUARO JAMBI,1505022007954597,DARMINTO HARTONO,"MUARO JAMBI, 20-07-1995",PEREMPUAN,O,JL PD JAYA II 21,005/030,TUNAS BARU,SEKERNAN,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MUARO JAMBI,23-08-2019
PROVINSI SUMATERA BARAT,KABUPATEN PESISIR SELATAN,1301082812650676,AMALIA ARISTININGSIH,"PESISIR SELATAN, 28-12-1965",PEREMPUAN,-,JL CIPINANG MUARA RAYA 47,008/020,GANTING MUDIAK SELATAN SURANTIH,SUTERA,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,PESISIR SELATAN,27-01-2018
PROVINSI JAWA TENGAH,KABUPATEN KENDAL,3324051512989356,MARYATI BENNIARDI IMANTO,"KENDAL, 15-12-1998",PEREMPUAN,A,JL KAYU MANIS TMR RAYA 25-A,007/019,SINGOROJO,SINGOROJO,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KENDAL,08-12-2016
PROVINSI SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI,1218010711831881,AGUS NURSALIM,"PANTAI CERMIN, 07-11-1983",PEREMPUAN,AB,JL SEMPER KEBANTENAN RAYA KAV 59-60,010/014,UJUNG RAMBUNG,PANTAI CERMIN,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SERDANG BEDAGAI,05-09-2010
PROVINSI SUMATERA UTARA,KABUPATEN NIAS BARAT,1225021301948521,DIANA WIDJAJA,"NIAS BARAT, 13-01-1994",PEREMPUAN,A,JL KELAPA HYBRIDA VI,010/006,KAFO KAFO,SIROMBU,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,NIAS BARAT,26-10-2015
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN ROTE NDAO,5314010802032834,I GUSTI NGURAH ADI SUPUTRA,"ROTE BARAT DAYA, 08-02-2003",LAKI-LAKI,O,JL P DIPONEGORO 25,005/027,MBOKAK,ROTE BARAT DAYA,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,ROTE NDAO,06-11-2017
PROVINSI KALIMANTAN SELATAN,KABUPATEN BANJAR,6303071212873445,WILLIAM SUTJIATMA,"BANJAR, 12-12-1987",PEREMPUAN,O,JL GERAJA SHIP HOUSE VILLA BINTARO INDAH,029/003,SUNGAI ALAT,ASTAMBUL,ISLAM,CERAI MATI,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,BANJAR,17-05-2015
PROVINSI KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI UTARA,6308101702637537,AGAM NUGRAHA SUBAGDJA,"HULU SUNGAI UTARA, 17-02-1963",PEREMPUAN,O,JL APRON RUSUN APRON BL B-3/104,026/018,RANTAU BUJUR HILIR,SUNGAI TABUKAN,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,HULU SUNGAI UTARA,01-07-2011
PROVINSI JAWA TIMUR,KABUPATEN PACITAN,3501052903907763,RISTY ISTIANA,"KEBONAGUNG, 29-03-1990",PEREMPUAN,B,KOMPL TAMAN PEGANGSAAN INDAH BL O/34,002/024,WONOGONDO,KEBONAGUNG,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PACITAN,21-06-2013
PROVINSI JAWA BARAT,KABUPATEN SUBANG,3213131106670953,WICAHYO RATOMO,"BLANAKAN, 11-06-1967",PEREMPUAN,O,JL PROF DR SOEPOMO SH 44 GED HONDA,028/004,TANJUNGTIGA,BLANAKAN,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUBANG,23-12-2012
PROVINSI P A P U A,KABUPATEN PUNCAK JAYA,9107181704683696,ENDAH SULISTYORINI HIMAWAN,"PUNCAK JAYA, 17-04-1968",LAKI-LAKI,B,JL BUARAN III 27,006/022,LULAME,GURAGE,ISLAM,BELUM KAWIN,BURUH HARIAN LEPAS,WNI,SEUMUR HIDUP,PUNCAK JAYA,16-11-2011
PROVINSI JAWA TENGAH,KABUPATEN PEMALANG,3327040811895604,HANDAJA SUSANTO,"WATUKUMPUL, 08-11-1989",PEREMPUAN,O,JL TJ DUREN BRT V 2,018/004,PAGELARAN,WATUKUMPUL,ISLAM,KAWIN,BURUH HARIAN LEPAS,WNI,SEUMUR HIDUP,PEMALANG,09-01-2018
PROVINSI ACEH,KABUPATEN ACEH BESAR,1106071709619183,TIMMIE MELVIN,"ACEH BESAR, 17-09-1961",PEREMPUAN,O,JL SUNTER KEMAYORAN RAYA,006/009,LAMPASI ENGKING,DARUL IMARAH,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,ACEH BESAR,14-01-2011
PROVINSI MALUKU,KABUPATEN MALUKU TENGGARA BARAT,8103082505774505,HENRY TAMPUBOLON,"KORMOMOLIN, 25-05-1977",PEREMPUAN,A,JL RAYA PEJUANGAN KEBON JERUK PLAZA BL E/10-12,009/030,KILMASA,KORMOMOLIN,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MALUKU TENGGARA BARAT,27-03-2012
PROVINSI BENGKULU,KABUPATEN KAUR,1704011408879554,ANDRY PRIBADY,"KAUR, 14-08-1987",LAKI-LAKI,-,JL KEMANG UTR GED BRESINDO,030/023,PINANG JAWA,KINAL,ISLAM,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,KAUR,01-01-2010
PROVINSI JAWA TENGAH,KABUPATEN PATI,3318070804014287,KIRK DAVID EVANS,"PATI, 08-04-2001",PEREMPUAN,O,JL KAYU MANIS TMR RAYA 25-A,020/001,GAJAHKUMPUL,BATANGAN,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PATI,18-03-2018
PROVINSI SUMATERA BARAT,KABUPATEN SOLOK,1302120501813694,DANIEL WEWENGKANG KOROMPIS,"X KOTO DIATAS, 05-01-1981",PEREMPUAN,O,JL PROF SUPOMO SH KOMPL TRANSKOP 16,002/016,BUKIT KANDUANG,X KOTO DIATAS,KRISTEN,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SOLOK,16-06-2014
PROVINSI ACEH,KABUPATEN ACEH TENGGARA,1102022202031567,WELLY THOMAS,"ACEH TENGGARA, 22-02-2003",LAKI-LAKI,O,JL.GN.SAHARI XI,022/007,KARYA INDAH,LAWE SIGALA-GALA,KRISTEN,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,ACEH TENGGARA,27-02-2012
PROVINSI SUMATERA UTARA,KABUPATEN SIMALUNGUN,1208141110677211,FONNY TEDJAJADI,"SIMALUNGUN, 11-10-1967",PEREMPUAN,B,JL RAYA PASAR MINGGU 26-B,028/002,PEMATANG PURBA,PURBA,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SIMALUNGUN,25-05-2018
PROVINSI JAWA TIMUR,KABUPATEN PASURUAN,3514210801663655,WILLIAM A. SULLIVAN,"PASURUAN, 08-01-1966",LAKI-LAKI,O,JL KRAMAT PELA III,019/023,WATESTANI,NGULING,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PASURUAN,05-09-2017
PROVINSI SUMATERA UTARA,KABUPATEN MANDAILING NATAL,1213061901843229,USTADAI TEDJA,"MANDAILING NATAL, 19-01-1984",LAKI-LAKI,O,TMN PALEM LESTARI,010/016,SINONOAN,SIABU,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MANDAILING NATAL,19-08-2020
PROVINSI JAWA TENGAH,KABUPATEN PURWOREJO,3306030509955158,LENNY WIJAYA,"PURWODADI, 05-09-1995",PEREMPUAN,O,JL BEKASI RAYA KM 25 GED SRIKANDI,028/009,NAMPUREJO,PURWODADI,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PURWOREJO,25-09-2016
PROVINSI JAWA BARAT,KABUPATEN SUKABUMI,3202120509589165,JAMES TJAHAJA RIADY,"SUKABUMI, 05-09-1958",PEREMPUAN,AB,JL LETJEN HARYONO MT KAV 8,022/014,CISARUA,NAGRAK,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUKABUMI,12-12-2019
PROVINSI KALIMANTAN SELATAN,KABUPATEN KOTABARU,6302022010942428,AGUS WIDAGDO,"PULAULAUT BARAT, 20-10-1994",PEREMPUAN,O,JL RADEN SALEH 44 WISMA TUGU RADEN SALEH,026/006,SUBUR MAKMUR,PULAULAUT BARAT,ISLAM,CERAI MATI,PERDAGANGAN,WNI,SEUMUR HIDUP,KOTABARU,11-11-2010
PROVINSI BENGKULU,KABUPATEN BENGKULU TENGAH,1709011104029235,PETER MARKART,"KARANG TINGGI, 11-04-2002",PEREMPUAN,A,JL KALIBATA INDAH KOMPL KALIBATA INDAH BL AM/19,030/016,RENAH SEMANEK,KARANG TINGGI,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BENGKULU TENGAH,02-09-2018
PROVINSI MALUKU,KOTA AMBON,8171052307848022,DIAN MULJANI SOEDARJO ,"LEITIMUR SELATAN, 23-07-1984",PEREMPUAN,AB,JL PRAMUKA 54,028/025,KILANG,LEITIMUR SELATAN,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA AMBON,12-07-2016
PROVINSI JAWA TIMUR,KABUPATEN BOJONEGORO,3522031608624055,MARGARETH MARIA REGINA ,"NGAMBON, 16-08-1962",PEREMPUAN,O,JL JEND SUDIRMAN KAV 47-48,006/011,NGAMBON,NGAMBON,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,BOJONEGORO,15-03-2019
PROVINSI LAMPUNG,KABUPATEN LAMPUNG BARAT,1804080306642096,ASHWANI CHOWDHRY,"LAMPUNG BARAT, 03-06-1964",PEREMPUAN,B,"JL KH. ABDULLAH SYAFEI NO. 7 CASSABLANCA, TEBET",010/029,WASPADA,SEKINCAU,ISLAM,CERAI HIDUP,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,LAMPUNG BARAT,05-04-2015
PROVINSI RIAU,KABUPATEN ROKAN HULU,1406032503715657,ACHMAD LATIEF ALWY,"RAMBAH, 25-03-1971",PEREMPUAN,O,JL JEND SUDIRMAN GED BEJ TOWER,025/003,PASIR PENGARAYAN,RAMBAH,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ROKAN HULU,01-02-2020
PROVINSI KALIMANTAN BARAT,KABUPATEN LANDAK,6108041204901733,MIMIN AMINAH,"LANDAK, 12-04-1990",PEREMPUAN,A,JL PINANG RAYA 51,011/029,BEBATUNG,MANDOR,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,LANDAK,11-06-2012
PROVINSI JAWA BARAT,KABUPATEN SUMEDANG,3211080810960906,AHMAD MARDA,"PASEH, 08-10-1996",LAKI-LAKI,O,JL LETJEN HARYONO MT KAV 8,013/003,CITEPOK,PASEH,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SUMEDANG,01-09-2016
PROVINSI JAWA TENGAH,KABUPATEN BREBES,3329012211625426,GARY PHAIR,"BREBES, 22-11-1962",PEREMPUAN,AB,JL KRAMAT KWITANG I-A 14-B,009/026,TEMBONGRAJA,SALEM,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BREBES,05-01-2013
PROVINSI ACEH,KABUPATEN PIDIE,1107140411957597,SUTIADI WIDJAJA,"PIDIE, 04-11-1995",PEREMPUAN,O,PERUM PURI BATA 1,003/003,BLANG GEULEUDIENG,PADANG TIJI,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PIDIE,06-06-2010
PROVINSI SUMATERA UTARA,KABUPATEN LABUHANBATU SELATAN,1222021704680170,SONG WEN SHYANG,"KAMPUNG RAKYAT, 17-04-1968",LAKI-LAKI,AB,JL H SOLEH 40,028/020,KAMPUNG PERLABIAN,KAMPUNG RAKYAT,KATHOLIK,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,LABUHANBATU SELATAN,21-04-2020
PROVINSI SULAWESI TENGAH,KABUPATEN SIGI,7210112810994689,LUCAS,"DOLO BARAT, 28-10-1999",LAKI-LAKI,A,JL RS FATMAWATI 39 KOMPL DUTA MAS FATMAWATI BL B-1/17,003/014,SIBONU,DOLO BARAT,ISLAM,CERAI MATI,PEWAGAI NEGERI SIPIL,WNI,SEUMUR HIDUP,SIGI,16-11-2014
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN LEMBATA,5313021509805886,MICHAEL WIJAYA GOUTAMA,"ATADEI, 15-09-1980",LAKI-LAKI,A,JL KETANG KETANG 3,012/015,NUBAHAERAKA,ATADEI,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LEMBATA,28-11-2017
PROVINSI JAWA TIMUR,KABUPATEN LAMONGAN,3524182503677352,EMIL ABENG,"LAMONGAN, 25-03-1967",PEREMPUAN,A,JL KRAMAT PELA III,024/017,LATUKAN,KARANGGENENG,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,LAMONGAN,27-07-2018
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI TIMUR,5319082110716892,MELISSA ONG,"POCO RANAKA TIMUR, 21-10-1971",LAKI-LAKI,A,JL WOLTER MONGINSIDI RAYA 125,021/018,COMPANG WUNIS,POCO RANAKA TIMUR,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MANGGARAI TIMUR,22-05-2017
PROVINSI SULAWESI TENGGARA,KABUPATEN KONAWE,7402212710592112,DJONI MUCHSIN,"KONAWE, 27-10-1959",LAKI-LAKI,A,JL MENTENG RAYA 62,024/016,RUMBIA,BONDOALA,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KONAWE,13-12-2013
PROVINSI JAWA TENGAH,KABUPATEN KEBUMEN,3305012012902667,ANDRE JOHANNES MAMUAYA,"KEBUMEN, 20-12-1990",LAKI-LAKI,B,JL.JATIWARINGIN,012/022,BANJARARJO,AYAH,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,KEBUMEN,04-08-2015
PROVINSI KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA BARAT,1905041008976763,JAMES BUDIONO,"BANGKA BARAT, 10-08-1997",PEREMPUAN,O,JL WARU 5-B,006/020,SINAR SARI,KELAPA,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BANGKA BARAT,15-03-2019
PROVINSI ACEH,KABUPATEN PIDIE,1107242610981784,NYOMAN SARIMIN,"MUTIARA TIMUR, 26-10-1998",LAKI-LAKI,A,JL PASAR KECAPI 31-58,003/015,MEUGIT,MUTIARA TIMUR,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PIDIE,17-02-2019
PROVINSI SUMATERA UTARA,KABUPATEN NIAS SELATAN,1214133006022383,PONIMAN,"NIAS SELATAN, 30-06-2002",LAKI-LAKI,AB,JL WOLTER MONGINSIDI RAYA 125,021/024,HILIFONDEGE HILIZOROILAWA,MAZINO,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,NIAS SELATAN,12-05-2019
PROVINSI ACEH,KABUPATEN BIREUEN,1111142602017404,SHERLLY HARTONO,"KUALA, 26-02-2001",PEREMPUAN,B,JL JEND GATOT SUBROTO KAV 32-34 PATRA,009/020,GLUMPANG  BAROH,KUALA,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,BIREUEN,04-12-2017
PROVINSI ACEH,KABUPATEN PIDIE,1107163103811970,HERLINE GOENAWAN,"PIDIE, 31-03-1981",LAKI-LAKI,O,JL. GRIYA AGUNG BLOK N3 NO 47-48. SUNTER AGUNG,004/016,COT TEUNGOH,PIDIE,KRISTEN,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PIDIE,10-05-2010
PROVINSI ACEH,KABUPATEN ACEH BESAR,1106181508737783,SUDJONO KARIM,"ACEH BESAR, 15-08-1973",PEREMPUAN,A,JL JAMBU 33,002/021,BLANG PREH,SIMPANG TIGA,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,ACEH BESAR,13-11-2013
PROVINSI JAWA TIMUR,KABUPATEN BANGKALAN,3526051702994511,JOELIARDI SUNENDAR,"BANGKALAN, 17-02-1999",LAKI-LAKI,-,JL. RAYA CONDET NO. 102 BATU AMPAR,026/007,OMBUL,AROSBAYA,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,BANGKALAN,01-05-2014
PROVINSI ACEH,KABUPATEN NAGAN RAYA,1115051608868301,BENJAMIN WONG SIONG YUIT,"NAGAN RAYA, 16-08-1986",LAKI-LAKI,AB,JL. RAYA CONDET NO. 102 BATU AMPAR,011/026,ALUE BILIE,DARUL MAKMUR,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,NAGAN RAYA,26-01-2015
PROVINSI JAWA TENGAH,KABUPATEN KEBUMEN,3305072612938776,SUYONO PURNOMO,"AMBAL, 26-12-1993",PEREMPUAN,A,JL RAYA PASAR MINGGU,030/019,PRASUTAN,AMBAL,KATHOLIK,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KEBUMEN,26-12-2010
PROVINSI LAMPUNG,KOTA BANDAR LAMPUNG,1871062109721627,HEINDRIX LIAUW,"BANDAR LAMPUNG, 21-09-1972",PEREMPUAN,O,JL JEND GATOT SUBROTO KAV 32,007/006,DURIAN PAYUNG,TANJUNGKARANG PUSAT,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,KOTA BANDAR LAMPUNG,30-10-2012
PROVINSI JAWA TIMUR,KOTA SURABAYA,3578090403623419,AGUS LEMAN GUNAWAN,"SURABAYA, 04-03-1962",PEREMPUAN,A,JL PD JAYA II,016/017,MEDOKAN SEMAMPIR,SUKOLILO,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA SURABAYA,27-09-2017
PROVINSI MALUKU UTARA,KABUPATEN HALMAHERA SELATAN,8204271808004794,DJONI RION GUI,"GANE TIMUR TENGAH, 18-08-2000",PEREMPUAN,A,JL MEDITERANIA BL F/8-F,013/007,TAGIA,GANE TIMUR TENGAH,KRISTEN,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,HALMAHERA SELATAN,16-04-2015
PROVINSI JAWA TENGAH,KABUPATEN KEBUMEN,3305120312756856,SAMUEL SETIAWAN,"KEBUMEN, 03-12-1975",PEREMPUAN,B,JL. PISANGAN LAMA 1/20,016/024,GEMEKSEKTI,KEBUMEN,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KEBUMEN,18-04-2013
PROVINSI JAWA BARAT,KABUPATEN SUMEDANG,3211101602825510,HADIDARMA KOSASIH KHO,"BUAHDUA, 16-02-1982",LAKI-LAKI,O,JL KAPT P TENDEAN 15,013/005,PANYINDANGAN,BUAHDUA,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,SUMEDANG,30-03-2012
PROVINSI JAWA BARAT,KABUPATEN TASIKMALAYA,3206342702874254,ELMURSIL MOENZIR,"RAJAPOLAH, 27-02-1987",LAKI-LAKI,B,JL JATIMAKMUR RAYA 8,016/009,MANGGUNGSARI,RAJAPOLAH,KRISTEN,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TASIKMALAYA,26-07-2014
PROVINSI KALIMANTAN BARAT,KABUPATEN SINTANG,6105152409856200,DAN BROWN,"AMBALAU, 24-09-1985",PEREMPUAN,B,JL JEND SUDIRMAN KAV 36 WISMA BENHIL BL C-4/RUANG 402,017/001,BUNTUT PURUN,AMBALAU,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SINTANG,12-03-2011
PROVINSI PAPUA BARAT,KABUPATEN MANOKWARI,9202151309872076,SUSILO SOPUTRO,"MANOKWARI SELATAN, 13-09-1987",PEREMPUAN,AB,JERUK PURUT KEMANG,012/028,ANDAY,MANOKWARI SELATAN,KRISTEN,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,MANOKWARI,11-01-2013
PROVINSI P A P U A,KABUPATEN JAYAWIJAYA,9102460508969916,POPPY HADIMAN,"TAELAREK, 05-08-1996",LAKI-LAKI,O,JL.JATIWARINGIN,011/020,HULUAIMA,TAELAREK,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,JAYAWIJAYA,02-10-2013
PROVINSI SUMATERA UTARA,KABUPATEN LABUHANBATU,1210020711908928,LIM ARIE SASMITA,"LABUHANBATU, 07-11-1990",LAKI-LAKI,B,JL RADIN INTEN II 84 A,024/002,LOBUSONA,RANTAU SELATAN,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LABUHANBATU,18-12-2017
PROVINSI ACEH,KABUPATEN BIREUEN,1111041208982560,BUDI CHRISTRANTO,"BIREUEN, 12-08-1998",PEREMPUAN,O,JL TIRTAYASA RAYA,030/013,COT IBOEH TIMU,JEUMPA,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BIREUEN,18-04-2016
PROVINSI ACEH,KABUPATEN ACEH TENGAH,1104082611902294,IGNATIUS JOE BUDIMAN,"ACEH TENGAH, 26-11-1990",LAKI-LAKI,B,JL JEND SUDIRMAN KAV 4 WISMA,013/002,KUALA II,BINTANG,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ACEH TENGAH,06-10-2017
PROVINSI SUMATERA UTARA,KABUPATEN MANDAILING NATAL,1213162308826132,SAPARUDDIN,"NATAL, 23-08-1982",LAKI-LAKI,O,JL JEND GATOT SUBROTO KAV 72 WISMA ALDIRON DIRGANTARA,009/006,SASARAN,NATAL,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MANDAILING NATAL,13-10-2018
PROVINSI KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI UTARA,6308082509605268,EDDIE SUDIJONO,"HULU SUNGAI UTARA, 25-09-1960",LAKI-LAKI,A,JL CIPUTAT RAYA PONDOK PINANG CENTER BL C/28 & 30,001/014,PALIMBANGAN,HAUR GADING,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,HULU SUNGAI UTARA,26-08-2013
PROVINSI SULAWESI UTARA,KABUPATEN BOLAANG MONGONDOW,7101352607993089,HOESEN GUNAWAN,"BOLAANG MONGONDOW, 26-07-1999",LAKI-LAKI,A,JL CEGER RAYA 42 A,011/019,KOSIO TIMUR,DUMOGA TENGAH,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,BOLAANG MONGONDOW,27-09-2012
PROVINSI ACEH,KABUPATEN ACEH TAMIANG,1116042706844261,AHMADDIN AHMAD,"SERUWAY, 27-06-1984",PEREMPUAN,O,JL TJ DUREN BRT V 2,017/019,GELUNG,SERUWAY,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH TAMIANG,02-02-2018
PROVINSI SULAWESI SELATAN,KABUPATEN SINJAI,7307092409940016,STEVEN TIRTAWIDJAJA,"SINJAI, 24-09-1994",LAKI-LAKI,O,JL BENDA IV 15,028/024,PULAU BUHUNG PITUE,PULAU SEMBILAN,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SINJAI,18-05-2013
